,respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,census_msa,household_adults,household_children,hhs_geo_region,behavioural_score,worry_score
0,16572.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,oxchjgsf,3.0,5.0
1,1714.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bhuqouqj,3.0,3.0
2,17973.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,qufhixun,5.0,6.0
3,10515.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,lrircsnp,1.0,2.0
4,13900.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,5.0,4.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,qufhixun,4.0,8.0
6,4309.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,qufhixun,4.0,9.0
7,3589.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,bhuqouqj,3.0,11.0
9,19501.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,qufhixun,2.0,10.0
10,20869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,lzgpxyit,0.0,18.0
11,2429.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,oxchjgsf,5.0,12.0
12,1900.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,lzgpxyit,3.0,10.0
13,14213.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lzgpxyit,3.0,14.0
14,19885.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,qufhixun,5.0,7.0
15,13548.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,lzgpxyit,5.0,7.0
16,18272.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,oxchjgsf,4.0,15.0
17,18730.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,2.0,5.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,lzgpxyit,4.0,9.0
18,11960.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,oxchjgsf,2.0,12.0
19,2577.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,lzgpxyit,2.0,5.0
20,16826.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,5.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,qufhixun,3.0,7.0
21,7937.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,qufhixun,0.0,5.0
22,4448.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,fpwskwrf,2.0,9.0
23,12554.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,lzgpxyit,0.0,11.0
